,name,alias,ra,dec,refs,discovery_date,hasPhot,hasSpec,json_path,z
105,SDSSJ1350,"['SDSS_J1350', 'SDSSJ1350']",207d30m22.65s,29d16m09.71s,"['2017ApJ...838..149A', '2016A&A...594A..13P', '2012ApJ...749..115W', '2017ApJ...835...64G', '2024arXiv240216951C', '15B-247', 'VLASS 1.1', 'VLASS 2.1', 'VLASS 3.1', 'WISE', '2024MNRAS.528.7076C']",2006-04-23 00:00:00.000,True,False,/home/nfranz/radio-ecle/ecle-otter/SDSSJ1350.json,0.0777
106,2020acka,"['ATLAS21cuo', 'ZTF20acwytxn', '2020acka', 'AT2020acka']",238d45m29.21868s,16d18m16.33932s,"['2022ApJ...925...67L', '2024MNRAS.527.2452M', '2020TNSTR3744....1M', '2021TNSCR.262....1H', ' 2023TNSCR2004....1Y']",59194.55357640046,True,False,/home/nfranz/radio-ecle/ecle-otter/AT2020acka.json,0.338
107,SDSSJ0952,"['SDSS_J0952', 'SDSSJ0952']",148d02m23.4s,21d43m13.24s,"['2017ApJ...838..149A', '2016A&A...594A..13P', '2008ApJ...678L..13K', '2017ApJ...835...64G', '2024arXiv240216951C', '15B-247', '17A-368', 'VLASS 1.2', 'VLASS 2.2', 'VLASS 3.2', 'WISE', '2024MNRAS.528.7076C']",2008-02-05 00:00:00.000,True,False,/home/nfranz/radio-ecle/ecle-otter/SDSSJ0952.json,0.0789
108,CXOU J0332,"['CXOU J0332', 'CXOU J033238.8-275134']",53d09m42s,-27d51m34s,"['2017arXiv170204422B', '2011ApJ...737..103S', '2017ApJ...835...64G']",2014-10-01 00:00:00.000,False,False,/home/nfranz/radio-ecle/ecle-otter/CXOU-J0332.json,
109,2021axu,"['2021axu', 'PS21csc', 'ZTF21aaaokyp', 'ATLAS21bsh', 'AT2021axu']",176d39m05.52672s,30d05m07.63584s,"['2022ApJ...925...67L', '2024MNRAS.527.2452M', '2021TNSTR.218....1T', '2021TNSCR.955....1H', ' 2023TNSCR2004....1Y']",59231.512,True,False,/home/nfranz/radio-ecle/ecle-otter/AT2021axu.json,0.19
110,2022pna,"['ATLAS22wax', 'Gaia22dgl', '2022pna', 'ZTF22aavvqyh', 'AT2022pna']",25d28m53.256s,-3d17m22.5204s,"['2022TNSCR2892....1Y', '2024MNRAS.527.2452M', '2022TNSTR2086....1T']",59784.5985,True,False,/home/nfranz/radio-ecle/ecle-otter/AT2022pna.json,0.095
111,J155223,['J155223'],238d05m49.35s,32d34m55.1s,"['2018arXiv180205105W', '2016A&A...594A..13P', '2011ApJ...737..103S', '2017ApJ...835...64G']",2009-05-31 00:00:00.000,True,False,/home/nfranz/radio-ecle/ecle-otter/J155223.json,0.1277
112,D23H-1,"['GALEX-D23H-1', 'D23H-1']",352d59m52.95s,0d17m14.57s,"['2017ApJ...838..149A', '2016A&A...594A..13P', '2011ApJ...737..103S', '2009ApJ...698.1367G', '2017ApJ...835...64G', '2024MNRAS.527.2452M', '2017MNRAS.471.1694W']",2007-09-04 00:00:00.000,True,False,/home/nfranz/radio-ecle/ecle-otter/D23H-1.json,0.1855
113,AT2021qth,['AT2021qth'],302d54m43.71s,-21d09m36.83s,"['2021TNSTR2141....1F', 'VLASS 1.1', 'VLASS 2.1', 'VLASS 3.1', 'WISE', '2023ApJ...955L...6Y']",2459382.9156134,True,False,/home/nfranz/radio-ecle/ecle-otter/AT2021qth.json,0.0805
114,2020yue,"['ZTF20acnznms', '2020yue', 'AT2020yue']",165d00m05.05152s,21d06m45.95292s,"['2022ApJ...925...67L', '2024MNRAS.527.2452M', '2020TNSTR3341....1N', '2022TNSCR.662....1K', ' 2023TNSCR2004....1Y']",59156.49736,True,False,/home/nfranz/radio-ecle/ecle-otter/AT2020yue.json,0.2042
115,2021uqv,"['2021uqv', 'Gaia21drx', 'ATLAS21beiz', 'ZTF21abqhkjd', 'AT2021uqv']",8d09m58.15332s,22d32m56.15448s,"['2022ApJ...925...67L', '2024MNRAS.527.2452M', '2021TNSTR2648....1M', '2021TNSCR3411....1Y', ' 2023TNSCR2004....1Y']",59424.43628469908,True,False,/home/nfranz/radio-ecle/ecle-otter/AT2021uqv.json,0.106
116,AT2018dyb,['AT2018dyb'],242d44m43.1592s,-60d55m24.3876s,"['2019ApJ...887..218L', '2024MNRAS.527.2452M']",,True,False,/home/nfranz/radio-ecle/ecle-otter/AT2018dyb.json,0.018
117,2018bsi,"['2018bsi', 'ZTF18aahqkbt', 'AT2018bsi']",123d51m39.5091144s,45d35m32.011782s,"['2021ApJ...908....4V', '2024MNRAS.527.2452M', '2023ApJ...957...86H', '2018TNSTR.652....1F', '2020TNSCR2260....1D']",58217.21199074074,True,False,/home/nfranz/radio-ecle/ecle-otter/AT2018bsi.json,0.051
118,2020ddv,"['ATLAS20gee', '2020ddv', 'ZTF20aamqmfk', 'AT2020ddv']",149d38m21.2473464s,46d54m40.4297676s,"['2023ApJ...942....9H', '2024MNRAS.527.2452M', '2023ApJ...957...86H', '2020TNSTR.605....1T']",58900.44699074074,True,False,/home/nfranz/radio-ecle/ecle-otter/AT2020ddv.json,0.16
