name,day,date,date_format,array_config,filter,filter_eff,filter_eff_units,flux,flux_err,flux_unit,upperlimit,reducer,source,use_this,comments
AT2021qth,2018-02-18T17:14:53.475,58167.7186744792,mjd,B,S,3,GHz,0.461854756624099,0,mJy,True,VLASS 1.1,VLASS 1.1,TRUE,
AT2018dyk,2019-03-28T11:02:46.275,58570.4602578125,mjd,B,S,3,GHz,0.399194486470085,0,mJy,True,VLASS 1.2,VLASS 1.2,TRUE,
AT2018dyk,2024-06-29T05:06:07.650,60490.2125885417,mjd,B,S,3,GHz,0.382897237854839,0,mJy,True,VLASS 3.2,VLASS 3.2,TRUE,
AT2018dyk,2021-11-22T13:55:35.850,59540.5802760417,mjd,B,S,3,GHz,0.395605458688932,0,mJy,True,VLASS 2.2,VLASS 2.2,TRUE,
SDSS_J1241,2021-11-27T11:38:51.900,59545.4853229167,mjd,B,S,3,GHz,1.34702508620363,0.118851787674513,mJy,False,VLASS 2.2,VLASS 2.2,TRUE,
SDSS_J1241,2019-04-15T07:43:56.325,58588.3221796875,mjd,B,S,3,GHz,1.47731503632799,0.129974172282441,mJy,False,VLASS 1.2,VLASS 1.2,TRUE,
SDSS_J1241,2024-05-31T04:54:35.550,60461.204578125,mjd,B,S,3,GHz,0.84236492551586,0.122522169930165,mJy,False,VLASS 3.2,VLASS 3.2,TRUE,
AT2017gge,2020-09-04T01:49:23.700,59096.07596875,mjd,B,S,3,GHz,0.458091456487406,0,mJy,True,VLASS 2.1,VLASS 2.1,TRUE,
AT2017gge,2017-11-24T17:51:30.825,58081.7441067708,mjd,B,S,3,GHz,0.40085357029133,0,mJy,True,VLASS 1.1,VLASS 1.1,TRUE,
AT2017gge,2023-03-01T09:40:16.500,60004.40296875,mjd,B,S,3,GHz,0.435412965400572,0,mJy,True,VLASS 3.1,VLASS 3.1,TRUE,
SDSS_J0938,2020-10-03T18:33:37.350,59125.7733489583,mjd,B,S,3,GHz,1.11433995649734,0.138067898632594,mJy,False,VLASS 2.1,VLASS 2.1,TRUE,
SDSS_J0938,2023-01-17T10:47:41.550,59961.4497864583,mjd,B,S,3,GHz,1.28325134859203,0.125866069739388,mJy,False,VLASS 3.1,VLASS 3.1,TRUE,
SDSS_J0938,2017-10-28T11:04:36.525,58054.4615338542,mjd,B,S,3,GHz,1.11335797352324,0.122853627601135,mJy,False,VLASS 1.1,VLASS 1.1,TRUE,
SDSS_J1350,2017-10-01T23:16:15.375,58027.9696223958,mjd,B,S,3,GHz,0.374580300384626,0,mJy,True,VLASS 1.1,VLASS 1.1,TRUE,
SDSS_J1350,2023-01-22T09:59:50.100,59966.4165520833,mjd,B,S,3,GHz,0.353338375000002,0,mJy,True,VLASS 3.1,VLASS 3.1,TRUE,
SDSS_J1350,2020-09-17T23:58:41.700,59109.99909375,mjd,B,S,3,GHz,0.442544011803799,0,mJy,True,VLASS 2.1,VLASS 2.1,TRUE,
SDSS_J2220,2020-07-10T12:02:52.350,59040.5019947917,mjd,B,S,3,GHz,0.544905174307227,0,mJy,True,VLASS 2.1,VLASS 2.1,TRUE,
SDSS_J2220,2023-01-15T23:17:42.900,59959.9706354167,mjd,B,S,3,GHz,0.556599772151334,0,mJy,True,VLASS 3.1,VLASS 3.1,TRUE,
SDSS_J2220,2017-11-28T02:25:10.425,58085.1008151042,mjd,B,S,3,GHz,0.418909779593966,0,mJy,True,VLASS 1.1,VLASS 1.1,TRUE,
SDSS_J1458,2021-10-15T17:42:37.350,59502.7379322916,mjd,B,S,3,GHz,0.497471306803147,0,mJy,True,VLASS 2.2,VLASS 2.2,TRUE,
SDSS_J1458,2024-05-29T04:44:06.000,60459.1972916667,mjd,B,S,3,GHz,0.544483995551161,0,mJy,True,VLASS 3.2,VLASS 3.2,TRUE,
SDSS_J1458,2019-03-31T11:12:35.775,58573.4670807292,mjd,B,S,3,GHz,0.655610485590426,0,mJy,True,VLASS 1.2,VLASS 1.2,TRUE,
SDSS_J1402,2020-09-18T00:05:56.400,59110.004125,mjd,B,S,3,GHz,0.489813214553723,0,mJy,True,VLASS 2.1,VLASS 2.1,TRUE,
SDSS_J1402,2017-10-01T23:15:21.375,58027.9689973958,mjd,B,S,3,GHz,0.421484827429371,0,mJy,True,VLASS 1.1,VLASS 1.1,TRUE,
SDSS_J1402,2023-01-22T09:58:56.100,59966.4159270833,mjd,B,S,3,GHz,0.410535031853346,0,mJy,True,VLASS 3.1,VLASS 3.1,TRUE,
SDSS_J1715,2023-02-09T15:50:27.600,59984.6600416667,mjd,B,S,3,GHz,0.363485162289303,0,mJy,True,VLASS 3.1,VLASS 3.1,TRUE,
SDSS_J1715,2020-08-03T06:23:11.400,59064.2661041667,mjd,B,S,3,GHz,0.55731752055308,0,mJy,True,VLASS 2.1,VLASS 2.1,TRUE,
SDSS_J1715,2017-09-13T01:37:07.275,58009.0674453125,mjd,B,S,3,GHz,0.354856477899658,0,mJy,True,VLASS 1.1,VLASS 1.1,TRUE,
SDSS_J1247,2019-05-15T05:23:04.875,58618.2243619792,mjd,B,S,3,GHz,0.470779632068972,0,mJy,True,VLASS 1.2,VLASS 1.2,TRUE,
SDSS_J1247,2024-07-23T01:23:10.500,60514.0577604167,mjd,B,S,3,GHz,0.556238029244722,0,mJy,True,VLASS 3.2,VLASS 3.2,TRUE,
SDSS_J1247,2021-12-24T12:48:27.900,59572.53365625,mjd,B,S,3,GHz,0.477405705743269,0,mJy,True,VLASS 2.2,VLASS 2.2,TRUE,
AT2018bcb,2019-07-06T11:32:38.625,58670.4810026042,mjd,B,S,3,GHz,0.658579840675877,0,mJy,True,VLASS 1.2,VLASS 1.2,TRUE,
AT2018bcb,2022-02-04T19:59:34.350,59614.8330364583,mjd,B,S,3,GHz,0.686168235770346,0,mJy,True,VLASS 2.2,VLASS 2.2,TRUE,
AT2018bcb,2024-09-28T04:32:51.900,60581.1894895833,mjd,B,S,3,GHz,0.59639926877313,0,mJy,True,VLASS 3.2,VLASS 3.2,TRUE,
AT2020vdq,2021-10-09T13:32:19.050,59496.564109375,mjd,B,S,3,GHz,1.68151686202166,0.114592025561541,mJy,False,VLASS 2.2,VLASS 2.2,TRUE,
#AT2020vdq,2024-06-15T21:29:06.000,60476.8952083333,mjd,B,S,3,GHz,0.820409679348232,0.137298324639258,mJy,False,VLASS 3.2,VLASS 3.2,TRUE,
AT2020vdq,2019-05-25T21:26:31.425,58628.8934192708,mjd,B,S,3,GHz,0.486426105424079,0,mJy,True,VLASS 1.2,VLASS 1.2,TRUE,
AT2021acak,2017-10-06T12:53:04.425,58032.5368567708,mjd,B,S,3,GHz,0.541726352233629,0,mJy,True,VLASS 1.1,VLASS 1.1,TRUE,
AT2021acak,2020-10-11T12:58:07.950,59133.5403697917,mjd,B,S,3,GHz,0.569753630274683,0,mJy,True,VLASS 2.1,VLASS 2.1,TRUE,
