name,day,date,date_format,array_config,filter,filter_eff,filter_eff_units,flux,flux_err,flux_unit,upperlimit,reducer,source,use_this,comments
SDSS_J1241,2019-09-28 0:02:07,58754.00147,mjd,A,X2,10.998433,GHz,0.052377,0.016349,mJy,FALSE,Noah Franz,19A-422,TRUE,
SDSS_J1241,2019-09-28 0:14:35,58754.01013,mjd,A,C,5.998691,GHz,0.647834,0.011137,mJy,FALSE,Noah Franz,19A-422,FALSE,
SDSS_J1241,2019-09-28 0:27:03,58754.01879,mjd,A,S1,2.498871,GHz,1.652155,0.086949,mJy,FALSE,Noah Franz,19A-422,TRUE,
SDSS_J1241,2020-08-01 4:54:05,59062.20423,mjd,B,L1,1.3,GHz,1.912551,0.178727,mJy,FALSE,Noah Franz,20A-128,FALSE,
SDSS_J1241,2020-08-01 4:54:05,59062.20423,mjd,B,L,1.55,GHz,1.983298,0.163066,mJy,FALSE,Noah Franz,20A-128,TRUE,
SDSS_J1241,2020-08-01 4:54:05,59062.20423,mjd,B,L2,1.775,GHz,0.865953,0,mJy,TRUE,Noah Franz,20A-128,FALSE,
SDSS_J1241,2020-07-07 6:03:11,59037.25221,mjd,B,C1,5,GHz,0.705887,0.011168,mJy,FALSE,Noah Franz,20A-128,TRUE,
SDSS_J1241,2020-07-07 6:03:11,59037.25221,mjd,B,C2,7,GHz,0.608643,0.012292,mJy,FALSE,Noah Franz,20A-128,TRUE,
SDSS_J1241,2020-07-07 6:03:11,59037.25221,mjd,B,C,5.627,GHz,0.682556,0.011061,mJy,FALSE,Noah Franz,20A-128,FALSE,
SDSS_J1241,2019-04-15 7:43:56,58588.32218,mjd,B,S,3,GHz,1.477315025,0.1301418825,mJy,FALSE,VLASS 1.2,VLASS 1.2,TRUE,
SDSS_J1241,2021-11-27 11:38:52,59545.48532,mjd,B,S,3,GHz,1.34702511,0.1188517853,mJy,FALSE,VLASS 2.2,VLASS 2.2,TRUE,
