,name,mjd,p,p_up,p_lo,log_F_nu,log_F_nu_up,log_F_nu_lo,log_nu_a,log_nu_a_up,log_nu_a_lo,z,lum_dist,disc_date,dt,Req,Eeq,Req_up,Eeq_up,Req_lo,Eeq_lo,Gamma
7,SDSSJ0748,57458.0,2.8055523060055902,0.6319453161004329,0.47916699021094633,0.4965272962794949,0.9656939419930448,0.8393908594101118,8.147338984943868,1.0377004117555426,1.1568767007352543,0.0615,8.795977704544693e+26,52935.0,4523.0,5.749087529264084e+18,7.939149693050865e+48,4.86968620560981e+17,8.575632529746151e+47,4.86968620560981e+17,8.575632529746151e+47,5
8,SDSSJ0748,57914.0,2.600990331407302,0.44512343513488206,0.2860965135307598,0.378761788201575,0.9216552232902895,0.7318628774042338,7.727497910422579,1.0401263195069879,1.119538958946304,0.0615,8.795977704544693e+26,52935.0,4979.0,1.303265839425065e+19,1.0441757512365102e+49,1.0940203711943311e+18,9.687861738048044e+47,1.0940203711943311e+18,9.687861738048044e+47,5
0,SDSSJ1241,57629.5,3.571882618919618,0.2076838148715452,0.3524999085264038,1.348284568266687,0.445148240924472,0.3657165010508713,8.743546984470985,0.36873045628976797,0.3841223527641251,0.0419,5.909864716230627e+26,53062.0,4567.5,3.228860494240787e+18,1.878103523277743e+49,1.1100452991227955e+17,7.939048327011066e+47,1.1100452991227955e+17,7.939048327011066e+47,6
1,SDSSJ1241,57959.0,3.884762031186496,0.08751749261952435,0.5168068364455061,1.1762755596950756,0.027492690238310802,0.03782882207731575,8.981877815793963,0.02064363266291913,0.1442868817734393,0.0419,5.909864716230627e+26,53062.0,4897.0,1.6088247885558477e+18,1.0281173642492199e+49,3289927567689472.0,5.462360124806169e+46,3289927567689472.0,5.462360124806169e+46,6
2,SDSSJ1241,58754.0,3.962759997091701,0.03218402741485349,0.6382613012140137,0.9067175159995644,0.023966389189939208,0.03351584210606462,9.014307535834295,0.013530332965931535,0.18853248918278886,0.0419,5.909864716230627e+26,53062.0,5692.0,1.1214237044141466e+18,4.905263626387084e+48,1512515455810816.0,1.214222430262206e+46,1512515455810816.0,1.214222430262206e+46,6
3,SDSSJ1241,59050.0,2.2861245166898847,0.22702732871955922,0.13153825432648558,1.2363030689197918,0.5084054423381126,0.5634228183086404,7.576585771377829,0.9026052651576357,0.8367334576387924,0.0419,5.909864716230627e+26,53062.0,5988.0,3.4698700933884936e+19,2.4969988670298095e+49,2.0458374653534495e+18,1.92508759532257e+48,2.0458374653534495e+18,1.92508759532257e+48,6
4,SDSSJ1241,59500.0,3.646321459689507,0.2639450631984688,0.5770979070096716,1.4007928006612786,0.43337420459504217,0.6017981959006347,8.43722836313998,0.42056026290218895,0.3430022354866473,0.0419,5.909864716230627e+26,53062.0,6438.0,6.982643628894446e+18,4.925864109688119e+49,2.076704733362555e+17,2.4712535678406805e+48,2.076704733362555e+17,2.4712535678406805e+48,6
5,SDSSJ0938,57459.0,3.1942505417312352,0.3718037524772271,0.4046432664035655,1.1219705156244708,0.6051582983422694,0.4559333066711384,8.652002326421321,0.5570537300045899,0.6101007778552514,0.101,1.483898232805616e+27,54092.0,3367.0,6.587206059902317e+18,5.942796008373688e+49,3.293516389396255e+17,3.8997784368027075e+48,3.293516389396255e+17,3.8997784368027075e+48,6
6,SDSSJ0938,57912.0,3.0866630709119827,0.15778121819045632,0.13596518519398648,1.1987638509115746,0.5349091281619953,0.23830129103885167,8.436691559018055,0.3288549942920991,0.571719488145277,0.101,1.483898232805616e+27,54092.0,3820.0,1.1507555024853217e+19,1.0081218541331374e+50,4.929683143765238e+17,4.62909465946903e+48,4.929683143765238e+17,4.62909465946903e+48,6
7,SDSSJ0748,57458.0,2.8055523060055902,0.6319453161004329,0.47916699021094633,0.4965272962794949,0.9656939419930448,0.8393908594101118,8.147338984943868,1.0377004117555426,1.1568767007352543,0.0615,8.795977704544693e+26,52935.0,4523.0,6.36808676452234e+18,5.294538708964033e+48,4.792995508042414e+17,4.983340674588017e+47,4.792995508042414e+17,4.983340674588017e+47,6
8,SDSSJ0748,57914.0,2.600990331407302,0.44512343513488206,0.2860965135307598,0.378761788201575,0.9216552232902895,0.7318628774042338,7.727497910422579,1.0401263195069879,1.119538958946304,0.0615,8.795977704544693e+26,52935.0,4979.0,1.4386204185549654e+19,7.250034736443426e+48,1.1219090116831846e+18,6.91631458097149e+47,1.1219090116831846e+18,6.91631458097149e+47,6
0,SDSSJ1241,57629.5,3.571882618919618,0.2076838148715452,0.3524999085264038,1.348284568266687,0.445148240924472,0.3657165010508713,8.743546984470985,0.36873045628976797,0.3841223527641251,0.0419,5.909864716230627e+26,53062.0,4567.5,3.488934298204254e+18,1.2444582391449204e+49,1.0054468360300902e+17,5.383093694876953e+47,1.0054468360300902e+17,5.383093694876953e+47,7
1,SDSSJ1241,57959.0,3.884762031186496,0.08751749261952435,0.5168068364455061,1.1762755596950756,0.027492690238310802,0.03782882207731575,8.981877815793963,0.02064363266291913,0.1442868817734393,0.0419,5.909864716230627e+26,53062.0,4897.0,1.7284347621183155e+18,6.588110224600884e+48,3347555690844672.0,3.2723545926162603e+46,3347555690844672.0,3.2723545926162603e+46,7
