,name,mjd,p,p_up,p_lo,log_F_nu,log_F_nu_up,log_F_nu_lo,log_nu_a,log_nu_a_up,log_nu_a_lo,z,lum_dist,disc_date,dt,Req,Eeq,Req_up,Eeq_up,Req_lo,Eeq_lo,Gamma
7,SDSSJ0748,57458.0,2.8055523060055902,0.6319453161004329,0.47916699021094633,0.4965272962794949,0.9656939419930448,0.8393908594101118,8.147338984943868,1.0377004117555426,1.1568767007352543,0.0615,8.795977704544693e+26,52935.0,4523.0,5.328860012446465e+18,1.3661948259894428e+49,1.8938402842413128e+18,4.32585516378357e+48,1.8938402842413128e+18,4.32585516378357e+48,4
8,SDSSJ0748,57914.0,2.600990331407302,0.44512343513488206,0.2860965135307598,0.378761788201575,0.9216552232902895,0.7318628774042338,7.727497910422579,1.0401263195069879,1.119538958946304,0.0615,8.795977704544693e+26,52935.0,4979.0,1.1790427879126712e+19,1.5965025211235124e+49,2.922076239743181e+18,4.708353514605443e+48,2.922076239743181e+18,4.708353514605443e+48,4
0,SDSSJ1241,57629.5,3.571882618919618,0.2076838148715452,0.3524999085264038,1.348284568266687,0.445148240924472,0.3657165010508713,8.743546984470985,0.36873045628976797,0.3841223527641251,0.0419,5.909864716230627e+26,53062.0,4567.5,2.9795214349315635e+18,3.1122792133628054e+49,2.772720684417838e+17,3.3623863370415115e+48,2.772720684417838e+17,3.3623863370415115e+48,5
1,SDSSJ1241,57959.0,3.884762031186496,0.08751749261952435,0.5168068364455061,1.1762755596950756,0.027492690238310802,0.03782882207731575,8.981877815793963,0.02064363266291913,0.1442868817734393,0.0419,5.909864716230627e+26,53062.0,4897.0,1.476263573584069e+18,1.7509900470042364e+49,1.044169467629824e+16,3.5241524436458276e+47,1.044169467629824e+16,3.5241524436458276e+47,5
2,SDSSJ1241,58754.0,3.962759997091701,0.03218402741485349,0.6382613012140137,0.9067175159995644,0.023966389189939208,0.03351584210606462,9.014307535834295,0.013530332965931535,0.18853248918278886,0.0419,5.909864716230627e+26,53062.0,5692.0,1.0322180914646917e+18,8.445022207182912e+48,3813546762253696.0,8.130975936458515e+46,3813546762253696.0,8.130975936458515e+46,5
3,SDSSJ1241,59050.0,2.2861245166898847,0.22702732871955922,0.13153825432648558,1.2363030689197918,0.5084054423381126,0.5634228183086404,7.576585771377829,0.9026052651576357,0.8367334576387924,0.0419,5.909864716230627e+26,53062.0,5988.0,3.1765258846632903e+19,3.396375456610924e+49,6.087457480647344e+18,7.666216579192367e+48,6.087457480647344e+18,7.666216579192367e+48,5
4,SDSSJ1241,59500.0,3.646321459689507,0.2639450631984688,0.5770979070096716,1.4007928006612786,0.43337420459504217,0.6017981959006347,8.43722836313998,0.42056026290218895,0.3430022354866473,0.0419,5.909864716230627e+26,53062.0,6438.0,6.334242180395919e+18,8.315093992716378e+49,5.647724567475845e+17,9.971237320845093e+48,5.647724567475845e+17,9.971237320845093e+48,5
5,SDSSJ0938,57459.0,3.1942505417312352,0.3718037524772271,0.4046432664035655,1.1219705156244708,0.6051582983422694,0.4559333066711384,8.652002326421321,0.5570537300045899,0.6101007778552514,0.101,1.483898232805616e+27,54092.0,3367.0,6.16889418463578e+18,9.033054906878545e+49,7.889522396815698e+17,1.2484409174240332e+49,7.889522396815698e+17,1.2484409174240332e+49,5
6,SDSSJ0938,57912.0,3.0866630709119827,0.15778121819045632,0.13596518519398648,1.1987638509115746,0.5349091281619953,0.23830129103885167,8.436691559018055,0.3288549942920991,0.571719488145277,0.101,1.483898232805616e+27,54092.0,3820.0,1.0410719127059296e+19,1.6508777281134204e+50,2.0117619538119885e+18,3.434708075218766e+49,2.0117619538119885e+18,3.434708075218766e+49,5
7,SDSSJ0748,57458.0,2.8055523060055902,0.6319453161004329,0.47916699021094633,0.4965272962794949,0.9656939419930448,0.8393908594101118,8.147338984943868,1.0377004117555426,1.1568767007352543,0.0615,8.795977704544693e+26,52935.0,4523.0,5.440700324072083e+18,7.888489063396833e+48,1.8597955051668736e+18,2.6887449526685634e+48,1.8597955051668736e+18,2.6887449526685634e+48,5
8,SDSSJ0748,57914.0,2.600990331407302,0.44512343513488206,0.2860965135307598,0.378761788201575,0.9216552232902895,0.7318628774042338,7.727497910422579,1.0401263195069879,1.119538958946304,0.0615,8.795977704544693e+26,52935.0,4979.0,1.2884174570794938e+19,1.0618356715487859e+49,2.712497467548371e+18,2.3087546914161172e+48,2.712497467548371e+18,2.3087546914161172e+48,5
