,name,alias,ra,dec,refs,discovery_date,z,hasPhot,hasSpec,json_path
109,WTP14adbwvs,['WTP14adbwvs'],198d44m56.1984s,51d16m21.9864s,"['2020ApJ...896L..27D', '2024ApJ...961..211M']",,0.02489,True,False,/home/nfranz/radio-ecle/.otter/WTP14adbwvs.json
110,2018mac,"['2022dbl', 'ASASSN-22ci', '2018mac', 'ZTF18aabdajx', 'Gaia22bdt', 'AT2022dbl', 'ATLAS18bcnl', 'PS22cdn']",185d11m16.17036s,49d33m04.40064s,"['2022TNSCR.504....1A', '2024MNRAS.527.2452M', '2023ApJS..267...44A', '2022TNSTR.372....1D', '2022TNSTR1433....1S']",58254.20157,0.0284,True,False,/home/nfranz/radio-ecle/.otter/AT2022dbl.json
111,AT2022mim,"['AT2022mim', 'WTP14abnpgk']",251d28m40.3968s,-23d27m06.9912s,"['2024ApJ...961..211M', 'TNS']",,0.02035,True,False,/home/nfranz/radio-ecle/.otter/AT2022mim.json
112,WTP16aatsnw,['WTP16aatsnw'],254d50m40.0488s,20d49m47.28s,"['2021ApJS..252...32J', '2022ApJS..258...21W', '2024ApJ...961..211M']",,0.04513,True,False,/home/nfranz/radio-ecle/.otter/WTP16aatsnw.json
113,IGR J12580+0134,"['IGR12580', 'IGR 12580', 'IGR J12580+0134']",194d31m16.5s,1d34m26s,"['2015ApJ...809..172I', '2016MNRAS.461.3375Y', '2017ApJ...842..126P', '2022ApJ...925..143P']",55572.0,0.00411,True,False,/home/nfranz/radio-ecle/.otter/IGR-J12580+0134.json
114,SRGE J135514.8+311605,['SRGE J135514.8+311605'],208d48m45.2844s,31d16m05.2356s,"['2021MNRAS.508.3820S', '2023PASP..135c4101G']",2020-06-23 00:00:00.000,0.1989,False,False,/home/nfranz/radio-ecle/.otter/SRGE-J135514.8+311605.json
115,PGC 1127938,['PGC 1127938'],19d44m09.6s,-1d03m10.8s,"['2017ApJ...838..149A', '2016A&A...594A..13P', '2015arXiv150506612H', '2011ApJ...737..103S', '2017ApJ...835...64G', '2016A&A...586A...9H', '2023PASP..135c4101G']",2007-01-08 00:00:00.000,0.02,False,False,/home/nfranz/radio-ecle/.otter/PGC-1127938.json
116,2019vcb,"['ZTF19acspeuw', '2019vcb', 'Gaia19feb', 'ATLAS19bcyz', 'AT2019vcb']",189d44m05.7329556s,33d09m57.2151492s,"['2023ApJ...942....9H', '2024MNRAS.527.2452M', '2019TNSTR2396....1N', '2024arXiv240712097A', '2020TNSCR2126....1D']",58802.551620370374,0.088,True,False,/home/nfranz/radio-ecle/.otter/AT2019vcb.json
117,2022bdw,"['PS22avi', '2022bdw', 'Gaia22baj', 'ZTF22aaahtqz', 'ATLAS22dth', 'AT2022bdw']",126d17m35.62476s,18d34m57.47304s,"['2022TNSCR.511....1A', '2024MNRAS.527.2452M', '2023ApJS..267...44A', '2024arXiv240712097A', '2022TNSTR.284....1T']",2022-01-31T09:37:26.400,0.0378,True,False,/home/nfranz/radio-ecle/.otter/AT2022bdw.json
118,2XMMi J1847,"['2XMMi J1847', '2XMMi J184725.1-631724']",281d51m17.4s,-63d17m24.96s,"['2016A&A...594A..13P', '2011ApJ...738...52L', '2011ApJ...737..103S', '2017ApJ...835...64G', '2018MNRAS.474.3000L', '2023PASP..135c4101G']",2006-09-01 00:00:00.000,0.0353,False,False,/home/nfranz/radio-ecle/.otter/2XMMi-J1847.json
119,SDSSJ0159,"['SDSS J0159', 'SDSSJ0159']",29d59m24.6s,0d33m10.49s,"['2017ApJ...838..149A', '2016A&A...594A..13P', '2015MNRAS.452...69M', '2017ApJ...835...64G', '2015ApJ...800..144L', '2023PASP..135c4101G']",2000-07-29 00:00:00.000,0.31167,True,False,/home/nfranz/radio-ecle/.otter/SDSSJ0159.json
120,PGC 133344,['PGC 133344'],325d43m58.8s,-30d07m58.8s,"['2017ApJ...838..149A', '2016A&A...594A..13P', '2015arXiv150506612H', '2011ApJ...737..103S', '2017ApJ...835...64G', '2016A&A...586A...9H', '2023PASP..135c4101G']",2005-03-17 00:00:00.000,0.02365,False,False,/home/nfranz/radio-ecle/.otter/PGC-133344.json
121,2022gri,"['ZTF20aahmtso', '2022gri', 'PS22nfs', 'ATLAS23doq', 'AT2022gri']",109d35m11.91408s,33d59m41.47116s,"['2022TNSAN..99....1Y', '2024MNRAS.527.2452M', '2022TNSTR.890....1F', '2022TNSCR1156....1Y']",59672.157,0.028,True,False,/home/nfranz/radio-ecle/.otter/AT2022gri.json
122,2022czy,"['ATLAS22gtw', 'Gaia22cay', '2022czy', 'PS22bvf', 'AT2022czy']",185d30m16.9488s,16d59m44.0196s,"['2022TNSTR.489....1T', '2024arXiv240712097A', '2022TNSCR.584....1F', ' 2022TNSCR.601....1H', ' 2022TNSCR1188....1B']",59632.49872,0.109,True,False,/home/nfranz/radio-ecle/.otter/AT2022czy.json
123,J145851,['J145851'],224d42m54.75s,17d50m57.9s,"['2018arXiv180205105W', '2016A&A...594A..13P', '2011ApJ...737..103S', '2017ApJ...835...64G', '2018MNRAS.477.2943W', '2023PASP..135c4101G']",2009-04-29 00:00:00.000,0.1165,True,False,/home/nfranz/radio-ecle/.otter/J145851.json
124,SDSS_J1247,['SDSS_J1247'],191d51m35.5785s,7d05m25.0809s,"['2024arXiv240216951C', 'VLASS 1.2', 'VLASS 2.2', 'WISE']",2006-05-21 00:00:00.000,0.104,True,False,/home/nfranz/radio-ecle/.otter/SDSS_J1247.json
125,TDE2,"['TDE2', 'SDSS-TDE2']",350d57m09.225s,-1d08m10.34s,"['2017ApJ...838..149A', '2016A&A...594A..13P', '2011ApJ...741...73V', '2011ApJ...737..103S', '2017ApJ...835...64G', '2000A&AS..143....9W', '2024MNRAS.527.2452M', '2023PASP..135c4101G', '2011MNRAS.417L..51V', '2013A&A...552A...5V', '2020SSRv..216...81A']",2007-06-18 00:00:00.000,0.2515,True,False,/home/nfranz/radio-ecle/.otter/TDE2.json
126,SRGE J163030.2+470125,['SRGE J163030.2+470125'],247d37m33.7872s,47d01m25.428s,"['2021MNRAS.508.3820S', '2023PASP..135c4101G']",2020-08-06 00:00:00.000,0.294,False,False,/home/nfranz/radio-ecle/.otter/SRGE-J163030.2+470125.json
